"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/8NXzaTqMAm",FALSE,0,NA,2015-02-12 21:16:37,FALSE,NA,"565982831571402752",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Global____News",0,FALSE,FALSE,NA,NA
"Видео майнкрафт превращение в мобов http://t.co/Z8f8EdUMzU",FALSE,0,NA,2015-02-12 21:15:54,FALSE,NA,"565982651841282048",NA,"<a href=""http://15aviko.ru"" rel=""nofollow"">1Pulisi1</a>","williamusatofav",2,FALSE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky: LOUISVILLE, Ky. (Reuters) - Officials at the... http://t.co/uxTMAE3eO9",FALSE,0,NA,2015-02-12 21:15:40,FALSE,NA,"565982592642453504",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","NewsThisSecond",0,FALSE,FALSE,NA,NA
"RT @cjnews: Corvette museum marks anniversary of sinkhole http://t.co/RAz3XEBgij http://t.co/0J95tAsuXS",FALSE,0,NA,2015-02-12 21:15:28,FALSE,NA,"565982545121390592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KimBrannock1",1,TRUE,FALSE,NA,NA
"Corvette museum marks anniversary of sinkhole #Louisville http://t.co/HXD8U6fq7b",FALSE,0,NA,2015-02-12 21:15:25,FALSE,NA,"565982530432561152",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","TheUsNewz",0,FALSE,FALSE,NA,NA
"RT @weathernetwork: Toronto sinkhole snarls traffic: http://t.co/SFR6OHlg8K http://t.co/mJ0WndIQyl",FALSE,0,NA,2015-02-12 21:15:05,FALSE,NA,"565982447222140928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gowd2",10,TRUE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/jeQykuiDA3",FALSE,0,NA,2015-02-12 21:14:47,FALSE,NA,"565982371779194881",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","garymccarty",0,FALSE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/lIdnKdJeIw",FALSE,0,NA,2015-02-12 21:14:19,FALSE,NA,"565982254275760128",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","statesperson",0,FALSE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/dOtqF9O6I5 #wtfnews",FALSE,0,NA,2015-02-12 21:14:07,FALSE,NA,"565982203557851136",NA,"<a href=""http://twitnerd.com"" rel=""nofollow"">TwitNerd</a>","iamdamnsam",0,FALSE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/SewBCEAaYw",FALSE,0,NA,2015-02-12 21:13:44,FALSE,NA,"565982109391540224",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","VauntPR",0,FALSE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/4ZN71x62wL",FALSE,0,NA,2015-02-12 21:13:41,FALSE,NA,"565982096728932354",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Xsn1per",0,FALSE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/oFCvnUvC08",FALSE,0,NA,2015-02-12 21:13:41,FALSE,NA,"565982092773687296",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Diana_Palmieri",0,FALSE,FALSE,NA,NA
"Oddly Enough - One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/UPnPFfARmC",FALSE,0,NA,2015-02-12 21:13:40,FALSE,NA,"565982092371042304",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","news4canada",0,FALSE,FALSE,NA,NA
"Reuters - One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/zwdege2ngG",FALSE,0,NA,2015-02-12 21:13:39,FALSE,NA,"565982086377390080",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","SilberFunNews",0,FALSE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/ZChGvPQEoP",FALSE,0,NA,2015-02-12 21:13:37,FALSE,NA,"565982080081735682",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","RealityTW",0,FALSE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/CLQ3eFwTxl",FALSE,0,NA,2015-02-12 21:13:37,FALSE,NA,"565982076818583552",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","JumpyPoindexter",0,FALSE,FALSE,NA,NA
"#odd One year later, sinkhole didn't sink Corvette Museum in Kentucky  http://t.co/q4BA5NBiBO",FALSE,0,NA,2015-02-12 21:12:38,FALSE,NA,"565981830763921409",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","BNWATL10",0,FALSE,FALSE,NA,NA
"#odd One year later, sinkhole didn't sink Corvette Museum in Kentucky  http://t.co/g8ngVz3BTp",FALSE,0,NA,2015-02-12 21:12:38,FALSE,NA,"565981830751334402",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","BNWATL09",0,FALSE,FALSE,NA,NA
"#odd One year later, sinkhole didn't sink Corvette Museum in Kentucky  http://t.co/yjpIZZUmbM",FALSE,0,NA,2015-02-12 21:12:38,FALSE,NA,"565981830684229632",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","BNWATL03",0,FALSE,FALSE,NA,NA
