"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Tampa4c: Big thanks to @TampaStreetcar for offering 50% off to #4C15 attendees. Show your badge and get a full-day pass for just $2.50.",FALSE,0,NA,2015-03-17 19:45:03,FALSE,NA,"577918590692675584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jzinchuk",9,TRUE,FALSE,NA,NA
"RT @Tampa4c: Big thanks to @TampaStreetcar for offering 50% off to #4C15 attendees. Show your badge and get a full-day pass for just $2.50.",FALSE,0,NA,2015-03-17 19:42:03,FALSE,NA,"577917834426077184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kstedman",9,TRUE,FALSE,NA,NA
"Hello Tampa! Just landed and looking forward to #4c15",FALSE,1,NA,2015-03-17 19:42:01,FALSE,NA,"577917826008293376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","asovak",0,FALSE,FALSE,NA,NA
"Just got that low cut fade just in time for #4c15. Conference haircuts are the only haircuts that matter anymore.",FALSE,1,NA,2015-03-17 19:40:33,FALSE,NA,"577917455592386562",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JChaseSanchez",0,FALSE,FALSE,NA,NA
"RT @Tampa4c: Big thanks to @TampaStreetcar for offering 50% off to #4C15 attendees. Show your badge and get a full-day pass for just $2.50.",FALSE,0,NA,2015-03-17 19:39:46,FALSE,NA,"577917259852615681",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrCCedillo",9,TRUE,FALSE,NA,NA
"Big thanks to @TampaStreetcar for offering 50% off to #4C15 attendees. Show your badge and get a full-day pass for just $2.50.",FALSE,7,NA,2015-03-17 19:35:30,FALSE,NA,"577916186689724416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tampa4c",9,FALSE,FALSE,NA,NA
"RT @NCTE_CCCC: First time at a CCCC Convention? Stop by the orientation session WED &amp; newcomer's coffee hour THURS see http://t.co/0j8HfZNi…",FALSE,0,NA,2015-03-17 19:30:59,FALSE,NA,"577915047948771328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tampa4c",4,TRUE,FALSE,NA,NA
"RT @skinnysb: Jerk Hut on Twiggs &amp; Franklin St. You should eat there. #4C15",FALSE,0,NA,2015-03-17 19:30:17,FALSE,NA,"577914872605741056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rachelbigeyes",1,TRUE,FALSE,NA,NA
"Did you know that #4C15 is taking place right now in Tampa? Even better, #4C16 will take place right here in #Houston | #techcomm #Texas",FALSE,3,NA,2015-03-17 19:27:31,FALSE,NA,"577914178293264384",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ywsanchez",1,FALSE,FALSE,NA,NA
"RT @danielleroach: Digging the view from my room here at #4c15...not bad. ;) http://t.co/XwSmkkiytn",FALSE,0,NA,2015-03-17 19:27:28,FALSE,NA,"577914162409537536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tampa4c",1,TRUE,FALSE,NA,NA
